18      17      11
20      16       3
16      18      11
 1       3      10
11      10       3
16      11       3
14       9      18
23      12      14
 9      14      12
15       8      12
17      18       9
 9      12       8
19      22       7
23      19      12
 7       5       6
 6      12       7
15      12       6
19       7      12
10       4      11
13      11       4
 9      17      13
11      13      17
 8       9       4
13       4       9
 5       2       6
10       4       1
15       6       8
 4       8       6
 4       6       2
 2       1       4
 2       5       7
 1       2       3
21       3       7
 7      22      21
20       3      21
 2       7       3



